timestamp;robot_imu_accelerometer;robot_imu_gyroscope;robot_linear_velocity;robot_angular_velocity;battery_percentage
1743584343;0,152630|-0,136469|10,035296;0,000266|-0,000799|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584343;0,152630|-0,132878|10,032902;-0,000932|-0,000799|0,000932;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584343;0,154426|-0,137667|10,042479;0,000000|0,000000|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584343;0,155623|-0,147842|10,035894;0,000000|0,000000|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584343;0,151433|-0,147842|10,043676;0,000266|-0,000533|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584343;0,156820|-0,135871|10,041282;0,000533|0,000133|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584343;0,147243|-0,143652|10,031705;0,000133|0,000133|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584343;0,155623|-0,140061|10,041282;0,000399|0,000133|0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584343;0,145448|-0,149039|10,036493;0,000133|0,000266|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584344;0,158017|-0,143054|10,037690;0,000666|0,000799|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584344;0,147842|-0,136469|10,026917;-0,000266|0,000533|0,000932;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584344;0,138864|-0,136469|10,029311;0,000533|0,000533|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584344;0,153229|-0,134674|10,032902;0,000000|-0,000932|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584344;0,149638|-0,138265|10,028712;0,000133|0,000399|-0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584344;0,153229|-0,140061|10,025121;0,000133|0,001198|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584344;0,149638|-0,142455|10,037092;-0,000133|-0,000533|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584344;0,152630|-0,138265|10,030508;0,000133|0,000133|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,425948;74,000000;
1743584344;0,161609|-0,195127|10,035894;0,000799|0,000533|-0,019441;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,580108;74,000000;
1743584344;0,234632|-0,240019|10,052654;-0,002397|0,000666|-0,142479;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,227012;74,000000;
1743584345;0,054468|-0,009577|10,051457;0,001864|-0,000666|-0,172706;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584345;0,076614|-0,091578|10,058640;0,000000|0,000799|-0,014115;-0,000000|0,000000|0,000000;0,000000|0,000000|0,450832;74,000000;
1743584345;0,110732|-0,080206|10,040683;-0,001065|0,000133|0,022903;-0,000000|0,000000|0,000000;0,000000|0,000000|0,550290;74,000000;
1743584345;0,039504|-0,168791|10,056844;-0,003462|0,000932|0,102665;-0,000000|0,000000|0,000000;0,000000|0,000000|0,207140;74,000000;
1743584345;0,232238|-0,237625|10,050260;0,001864|-0,000266|0,221974;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584345;0,293290|-0,219069|10,000581;0,001864|-0,000666|0,045673;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584345;0,128688|-0,144251|10,046070;0,000266|0,000533|-0,011984;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
